total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
1501,35,1,31,34.77142857142857,140,4.25,16,3,23.64,42.885714285714286,37,64,3.459,35,0.048,1.898,0.554,0,1,flask,src/flask/app.py
517,27,2,16,13.444444444444445,52,2.07,7,0,49.83,19.14814814814815,27,33,2.444,13,0.047,2.609,0.167,0,1,flask,src/flask/ctx.py
214,15,2,10,10.0,22,2.38,5,0,61.34,14.266666666666667,17,20,2.353,7,0.0735,1.778,0.168,0,1,flask,src/flask/templating.py
326,35,6,7,9.714285714285714,48,3.33,5,0,35.85,9.314285714285715,31,27,1.742,8,0.029,2.721,0.048,0,1,flask,tests/test_reqctx.py
22,3,1,2,5.666666666666667,15,4.0,4,0,64.14,7.333333333333333,5,3,1.2,3,0.15,1.5,0.0,0,1,flask,tests/test_subclassing.py
1501,35,1,31,34.77142857142857,140,4.25,16,3,23.64,42.885714285714286,37,64,3.459,35,0.048,1.898,0.554,0,1,flask,src/flask/app.py
517,27,2,16,13.444444444444445,52,2.07,7,0,49.83,19.14814814814815,27,33,2.444,13,0.047,2.609,0.167,0,1,flask,src/flask/ctx.py
214,15,2,10,10.0,22,2.38,5,0,61.34,14.266666666666667,17,20,2.353,7,0.0735,1.778,0.168,0,1,flask,src/flask/templating.py
326,35,6,7,9.714285714285714,48,3.33,5,0,35.85,9.314285714285715,31,27,1.742,8,0.029,2.721,0.048,0,1,flask,tests/test_reqctx.py
22,3,1,2,5.666666666666667,15,4.0,4,0,64.14,7.333333333333333,5,3,1.2,3,0.15,1.5,0.0,0,1,flask,tests/test_subclassing.py
623,17,0,13,33.705882352941174,123,2.53,10,0,46.33,36.64705882352941,18,4,0.444,2,0.0131,1.333,0.0,0,1,flask,src/flask/helpers.py
103,1,0,12,58.0,58,6.0,6,0,48.38,103.0,2,0,0.0,0,0.0,0.0,0.0,0,1,flask,src/flask/__init__.py
189,6,2,3,13.833333333333334,49,4.5,7,0,62.64,31.5,7,6,1.714,3,0.1429,1.867,0.0,0,1,flask,src/flask/views.py
2363,69,1,37,26.014492753623188,165,3.33,16,4,5.94,34.2463768115942,67,109,3.254,63,0.0246,2.001,0.47,0,1,flask,src/flask/app.py
1159,40,7,29,20.55,73,4.14,13,3,26.45,28.975,43,60,2.791,8,0.0332,3.168,0.183,3,1,flask,src/flask/cli.py
701,71,15,16,7.436619718309859,84,3.18,12,2,24.97,9.873239436619718,62,34,1.097,16,0.009,2.862,0.084,0,1,flask,tests/test_cli.py
422,23,5,12,10.173913043478262,56,2.04,8,0,58.15,18.347826086956523,26,40,3.077,13,0.0615,2.56,0.353,0,1,flask,src/flask/sessions.py
2024,261,7,18,7.731800766283525,83,3.93,25,5,0.0,7.754789272030651,207,95,0.918,71,0.0022,2.625,0.026,0,1,flask,tests/test_basic.py
2084,68,1,32,22.955882352941178,136,3.14,15,3,9.98,30.647058823529413,66,105,3.182,62,0.0245,2.002,0.41,0,1,flask,src/flask/app.py
481,30,3,10,11.066666666666666,40,1.97,8,0,50.78,16.033333333333335,26,35,2.692,11,0.0538,2.45,0.155,0,1,flask,src/flask/ctx.py
481,30,3,10,11.066666666666666,40,1.97,8,0,50.78,16.033333333333335,26,35,2.692,11,0.0538,2.45,0.155,0,1,flask,src/flask/ctx.py
358,10,2,13,27.6,69,4.0,7,0,58.02,35.8,13,9,1.385,2,0.0577,1.667,0.0,0,1,flask,src/flask/json/__init__.py
639,19,0,13,30.36842105263158,123,2.35,10,0,47.13,33.63157894736842,18,4,0.444,2,0.0131,1.333,0.0,0,0,flask,src/flask/helpers.py
347,38,4,9,7.342105263157895,67,2.3,6,0,36.66,9.131578947368421,39,23,1.179,6,0.0155,3.037,0.01,0,0,flask,tests/test_json.py
182,25,0,1,7.32,42,3.86,5,0,33.49,7.28,17,0,0.0,0,0.0,0.0,0.0,0,0,flask,tests/test_signals.py
129,4,1,10,25.75,34,2.4,3,0,81.73,32.25,6,6,2.0,5,0.2,1.6,0.35,0,0,flask,src/flask/blueprints.py
18,0,0,2,0.0,0,0.0,0,0,100.0,18.0,1,0,0.0,0,0.0,0.0,0.0,0,0,flask,src/flask/signals.py
